CustomerID,ProdTaken,Age,Company Invited,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome,insurance,TypeofContact
200022,0,34,Self Enquiry,1,13,Salaried,Fe Male,2,3,Standard,4,Unmarried,1,0,3,1,0,Senior Manager,26994,1,Self Enquiry
200023,0,21,Self Enquiry,1,21,Salaried,Male,3,3,Basic,3,Single,2,0,3,1,1,Executive,16232,0,Self Enquiry
200024,1,34,Self Enquiry,1,12,Small Business,Male,2,3,Basic,5,Single,3,0,2,1,1,Executive,17960,1,Self Enquiry
200025,0,53,Self Enquiry,1,11,Salaried,Female,2,3,King,3,Married,5,0,5,0,1,VP,34094,1,Self Enquiry
200026,1,,Company Invited,1,22,Salaried,Female,3,5,Basic,5,Single,2,1,4,1,2,Executive,,1,Company Invited
200027,0,42,Self Enquiry,3,14,Small Business,Male,2,3,Deluxe,4,Divorced,1,0,3,0,1,Manager,21825,0,Self Enquiry
200028,0,44,Self Enquiry,1,13,Small Business,Female,2,4,Standard,3,Divorced,4,0,4,1,0,Senior Manager,25248,1,Self Enquiry
200029,0,46,Self Enquiry,3,8,Small Business,Female,2,3,King,5,Single,4,0,2,0,1,VP,33947,1,Self Enquiry
200030,0,33,Self Enquiry,1,8,Small Business,Male,3,3,Basic,3,Single,5,0,3,1,2,Executive,17496,0,Self Enquiry
200031,0,44,Self Enquiry,1,16,Salaried,Male,2,3,Deluxe,3,Divorced,3,1,3,1,1,Manager,21465,0,Self Enquiry
200032,0,30,Self Enquiry,1,15,Small Business,Male,2,4,Basic,3,Single,2,0,4,1,1,Executive,17206,0,Self Enquiry
200033,1,39,Self Enquiry,3,11,Large Business,Male,2,3,Deluxe,3,Divorced,4,0,2,0,1,Manager,17086,1,Self Enquiry
200034,1,24,Self Enquiry,1,6,Small Business,Male,3,3,Basic,3,Divorced,3,1,3,1,2,Executive,17293,1,Self Enquiry
200035,0,43,Self Enquiry,1,8,Small Business,Female,3,2,Basic,3,Married,2,0,2,0,1,Executive,17645,0,Self Enquiry
200036,1,50,Self Enquiry,3,9,Small Business,Male,2,4,Basic,3,Divorced,2,1,4,0,0,Executive,17683,1,Self Enquiry
200037,0,35,Self Enquiry,3,8,Small Business,Female,3,3,Basic,3,Divorced,2,0,2,1,0,Executive,17014,0,Self Enquiry
200038,0,36,Self Enquiry,1,11,Salaried,Female,2,4,Basic,,Divorced,1,1,2,1,0,Executive,95000,0,Self Enquiry
200039,0,33,Company Invited,3,6,Salaried,Female,2,2,Deluxe,5,Divorced,3,0,3,1,0,Manager,20376,0,Company Invited
200040,0,35,Self Enquiry,1,10,Salaried,Male,3,3,Basic,3,Married,2,0,4,0,0,Executive,16951,0,Self Enquiry
200041,0,27,Self Enquiry,1,8,Salaried,Female,2,3,Basic,5,Married,2,0,3,0,1,Executive,17341,0,Self Enquiry
200042,1,26,Self Enquiry,1,31,Salaried,Male,2,5,Basic,3,Single,2,0,2,1,1,Executive,17293,1,Self Enquiry
200043,0,27,Company Invited,3,14,Salaried,Male,2,3,Standard,3,Unmarried,2,0,2,1,0,Senior Manager,23726,1,Company Invited
200044,0,,Company Invited,1,6,Small Business,Female,2,3,Deluxe,3,Single,2,0,3,1,0,Manager,,0,Company Invited
200045,1,41,Self Enquiry,1,18,Large Business,Female,2,3,King,3,Divorced,2,0,4,1,0,VP,34545,1,Self Enquiry
200046,0,34,Company Invited,3,,Small Business,Male,3,3,Deluxe,3,Single,1,0,5,1,1,Manager,19568,0,Company Invited
200047,0,37,Self Enquiry,1,25,Salaried,Male,3,3,Basic,4,Divorced,5,0,4,1,1,Executive,18022,0,Self Enquiry
200048,0,46,Company Invited,3,11,Small Business,Male,3,3,Deluxe,3,Single,5,1,5,1,1,Manager,20772,0,Company Invited
200049,0,35,Self Enquiry,1,14,Salaried,Male,2,2,Basic,3,Divorced,2,0,5,1,1,Executive,17269,0,Self Enquiry
200050,1,48,Self Enquiry,1,6,Salaried,Male,3,4,Standard,3,Single,1,1,5,0,2,Senior Manager,20381,1,Self Enquiry
200051,1,,Self Enquiry,1,11,Large Business,Male,2,3,Basic,3,Single,2,1,2,1,0,Executive,18441,1,Self Enquiry
200052,0,44,Self Enquiry,3,6,Small Business,Female,3,3,Deluxe,5,Married,6,1,2,0,0,Manager,20454,0,Self Enquiry
200053,0,35,Company Invited,1,17,Small Business,Male,3,4,Standard,5,Divorced,3,1,5,1,1,Senior Manager,24884,1,Company Invited
200054,0,,Self Enquiry,3,29,Small Business,Female,2,4,Deluxe,3,Divorced,1,1,2,1,0,Manager,,0,Self Enquiry
200055,0,33,Company Invited,1,6,Salaried,Fe Male,3,3,Standard,3,Unmarried,2,1,2,1,0,Senior Manager,28458,1,Company Invited
200056,0,35,Company Invited,3,24,Salaried,Male,3,3,Standard,5,Divorced,2,0,4,1,0,Senior Manager,24069,1,Company Invited
200057,0,,Self Enquiry,1,29,Small Business,Female,1,3,Basic,5,Divorced,4,1,4,1,0,Executive,,0,Self Enquiry
200058,0,31,Self Enquiry,1,13,Salaried,Male,2,3,Deluxe,3,Married,4,0,3,1,0,Manager,20915,0,Self Enquiry
200059,0,37,Self Enquiry,1,6,Salaried,Male,2,4,Deluxe,3,Married,2,0,5,1,1,Manager,20993,0,Self Enquiry
200060,0,32,Self Enquiry,1,6,Small Business,Male,2,3,Deluxe,3,Divorced,2,1,4,1,0,Manager,21162,0,Self Enquiry
200061,0,38,Company Invited,1,35,Salaried,Female,2,3,Deluxe,3,Single,2,0,3,1,0,Manager,17406,0,Company Invited
200062,0,50,Self Enquiry,1,13,Small Business,Female,2,4,King,3,Married,6,1,4,1,1,VP,33740,1,Self Enquiry
200063,0,59,Self Enquiry,3,31,Salaried,Female,2,3,Standard,5,Unmarried,1,0,3,1,0,Senior Manager,22637,1,Self Enquiry
200064,0,36,Self Enquiry,1,14,Large Business,Female,2,3,Standard,3,Married,2,0,4,1,1,Senior Manager,25096,1,Self Enquiry
200065,0,55,Self Enquiry,1,14,Small Business,Female,2,3,Super Deluxe,3,Married,3,1,3,0,1,AVP,29756,1,Self Enquiry
200066,0,36,Company Invited,1,17,Salaried,Male,3,4,Deluxe,4,Unmarried,2,0,4,1,1,Manager,21499,0,Company Invited
200067,0,45,Self Enquiry,1,13,Salaried,Male,2,3,Standard,5,Married,3,0,3,1,1,Senior Manager,24724,1,Self Enquiry
200068,0,35,Company Invited,1,6,Small Business,Male,3,3,Basic,5,Divorced,5,0,2,0,1,Executive,17194,0,Company Invited
200069,1,,Self Enquiry,1,15,Small Business,Male,3,4,Basic,3,Divorced,1,1,2,0,1,Executive,18388,1,Self Enquiry
200070,0,59,Company Invited,3,6,Salaried,Female,2,4,Deluxe,3,Single,1,0,5,1,1,Manager,20473,0,Company Invited
200071,0,29,Self Enquiry,1,8,Salaried,Male,3,3,Basic,4,Divorced,1,0,4,0,0,Executive,17703,0,Self Enquiry
200072,0,31,Self Enquiry,1,6,Small Business,Male,2,3,Basic,4,Single,2,0,3,0,0,Executive,17501,0,Self Enquiry
200073,0,32,Self Enquiry,1,6,Salaried,Male,3,3,Deluxe,4,Divorced,2,0,3,0,0,Manager,21220,0,Self Enquiry
200074,0,36,Self Enquiry,1,12,Salaried,Female,2,2,Deluxe,3,Divorced,4,0,2,0,0,Manager,18038,0,Self Enquiry
200075,0,31,Self Enquiry,1,,Salaried,Female,3,3,Deluxe,3,Single,2,0,5,0,1,Manager,,0,Self Enquiry
200076,0,35,Self Enquiry,3,,Small Business,Male,2,4,Deluxe,5,Single,1,0,2,0,1,Manager,,0,Self Enquiry
200077,0,45,Self Enquiry,1,12,Salaried,Male,2,3,Standard,5,Divorced,5,1,3,0,0,Senior Manager,28245,1,Self Enquiry
200078,0,37,Self Enquiry,1,13,Small Business,Male,1,3,Standard,3,Single,5,0,2,0,0,Senior Manager,28664,1,Self Enquiry
200079,0,46,Self Enquiry,2,11,Small Business,Male,3,,Deluxe,4,Married,1,1,5,0,1,Manager,20021,0,Self Enquiry
200080,0,30,Self Enquiry,1,6,Salaried,Male,2,4,Deluxe,3,Divorced,2,1,2,1,1,Manager,20126,0,Self Enquiry
200081,0,35,Self Enquiry,1,6,Small Business,Male,1,4,Basic,3,Single,2,0,4,1,0,Executive,17859,0,Self Enquiry
200082,0,55,Self Enquiry,3,6,Salaried,Male,3,3,Standard,3,Divorced,4,0,2,0,1,Senior Manager,25239,1,Self Enquiry
200083,0,38,Company Invited,1,12,Small Business,Female,3,5,Deluxe,3,Married,1,1,2,0,2,Manager,20329,0,Company Invited
200084,0,34,Self Enquiry,1,,Small Business,Male,3,3,Deluxe,4,Divorced,2,0,5,0,0,Manager,,0,Self Enquiry
200085,0,56,Self Enquiry,1,13,Salaried,Male,2,5,Standard,3,Unmarried,5,0,2,0,0,Senior Manager,22260,1,Self Enquiry
200086,0,23,Self Enquiry,3,8,Large Business,Male,3,3,Basic,5,Married,4,0,3,1,1,Executive,17322,0,Self Enquiry
200087,0,51,Self Enquiry,1,15,Salaried,Male,3,3,Basic,3,Divorced,4,0,3,1,0,Executive,17075,0,Self Enquiry
200088,0,,Self Enquiry,1,8,Salaried,Male,2,4,Deluxe,3,Divorced,2,0,4,1,0,Manager,,0,Self Enquiry
200089,1,46,Self Enquiry,3,15,Small Business,Male,3,4,Standard,3,Unmarried,2,0,5,0,1,Senior Manager,24619,1,Self Enquiry
200090,0,40,Company Invited,1,6,Salaried,Male,3,4,Super Deluxe,4,Divorced,2,0,2,1,2,AVP,28503,1,Company Invited
200091,0,51,Self Enquiry,3,27,Small Business,Male,3,3,Deluxe,3,Single,1,1,5,1,1,Manager,20441,0,Self Enquiry
200092,0,30,Self Enquiry,3,10,Small Business,Female,3,4,Deluxe,4,Married,2,1,3,1,1,Manager,20209,0,Self Enquiry
200093,0,46,Company Invited,1,6,Small Business,Male,2,4,Standard,5,Divorced,3,1,2,1,1,Senior Manager,25673,1,Company Invited
200094,0,32,Self Enquiry,3,12,Small Business,Male,2,,Deluxe,3,Single,2,0,5,1,0,Manager,20010,0,Self Enquiry
200095,0,54,Self Enquiry,1,8,Large Business,Female,2,3,Standard,3,Divorced,1,0,4,1,0,Senior Manager,28549,1,Self Enquiry
200096,0,24,Self Enquiry,3,9,Salaried,Female,2,,Deluxe,3,Divorced,1,0,4,1,0,Manager,19999,0,Self Enquiry
200097,0,,Company Invited,3,10,Small Business,Male,2,3,Deluxe,3,Divorced,2,0,2,1,0,Manager,,0,Company Invited
200098,0,58,Self Enquiry,3,16,Small Business,Male,2,3,Super Deluxe,3,Single,1,0,3,1,1,AVP,28872,1,Self Enquiry
200099,0,44,Company Invited,1,29,Small Business,Male,3,3,Deluxe,4,Divorced,5,0,3,1,0,Manager,17042,0,Company Invited
200100,1,37,Self Enquiry,2,12,Salaried,Male,3,3,Basic,5,Married,5,1,2,1,0,Executive,17073,1,Self Enquiry
200101,0,32,Self Enquiry,1,6,Salaried,Male,3,3,Basic,5,Single,2,0,2,0,2,Executive,17956,0,Self Enquiry
200102,1,20,Company Invited,1,12,Salaried,Female,3,4,Basic,3,Single,2,1,2,1,1,Executive,17926,1,Company Invited
200103,0,34,Self Enquiry,1,,Salaried,Female,2,3,Deluxe,3,Single,2,0,3,1,0,Manager,19809,0,Self Enquiry
200104,0,37,Company Invited,1,8,Salaried,Male,3,4,Deluxe,3,Married,6,0,2,0,1,Manager,20163,0,Company Invited
200105,0,59,Company Invited,2,8,Salaried,Female,2,4,King,3,Divorced,1,0,2,1,1,VP,33844,1,Company Invited
200106,0,50,Company Invited,1,6,Salaried,Female,3,3,King,4,Divorced,4,1,2,0,2,VP,33172,1,Company Invited
200107,1,25,Self Enquiry,3,11,Small Business,Male,2,4,Deluxe,3,Single,2,1,3,1,0,Manager,20744,1,Self Enquiry
200108,0,25,Self Enquiry,1,13,Small Business,Male,3,4,Basic,3,Divorced,2,0,2,1,2,Executive,17889,0,Self Enquiry
200109,0,22,Self Enquiry,1,21,Small Business,Female,2,3,Basic,3,Single,2,0,2,1,1,Executive,17871,0,Self Enquiry
200110,0,51,Company Invited,1,6,Small Business,Female,1,4,Standard,5,Unmarried,4,0,2,1,0,Senior Manager,22484,1,Company Invited
200111,1,34,Company Invited,1,13,Salaried,Male,3,5,Deluxe,3,Single,2,1,5,1,1,Manager,21074,1,Company Invited
200112,0,54,Company Invited,2,32,Salaried,Female,1,2,Super Deluxe,3,Single,3,1,3,1,0,AVP,32328,1,Company Invited
200113,0,24,Self Enquiry,1,24,Salaried,Male,2,3,Basic,3,Divorced,1,0,4,1,0,Executive,17774,0,Self Enquiry
200114,0,34,Self Enquiry,1,,Salaried,Female,2,4,Deluxe,4,Married,7,0,3,0,1,Manager,19505,0,Self Enquiry
200115,0,37,Self Enquiry,3,9,Salaried,Male,2,3,Standard,3,Unmarried,3,0,3,0,0,Senior Manager,22428,1,Self Enquiry
200116,0,34,Self Enquiry,1,11,Small Business,Fe Male,2,4,Standard,5,Unmarried,3,0,2,0,0,Senior Manager,26631,1,Self Enquiry
200117,0,36,Company Invited,3,17,Large Business,Female,3,3,Standard,3,Divorced,1,0,5,0,0,Senior Manager,24738,1,Company Invited
200118,0,36,Self Enquiry,1,9,Salaried,Female,2,3,Basic,3,Married,6,0,2,1,0,Executive,17835,0,Self Enquiry
200119,0,43,Company Invited,3,32,Salaried,Male,3,3,Super Deluxe,3,Divorced,2,1,2,0,0,AVP,31959,1,Company Invited
200120,0,30,Company Invited,1,29,Salaried,Male,3,5,Basic,3,Married,2,0,3,1,2,Executive,17613,0,Company Invited
200121,0,33,Company Invited,3,28,Small Business,Male,3,3,Deluxe,4,Divorced,1,0,2,0,1,Manager,21146,0,Company Invited
200122,1,56,Self Enquiry,1,20,Salaried,Female,3,,Basic,4,Divorced,1,1,5,1,1,Executive,19963,1,Self Enquiry
200123,0,51,Self Enquiry,1,12,Salaried,Male,2,3,King,3,Single,1,0,5,1,0,VP,34537,1,Self Enquiry
200124,1,31,Self Enquiry,3,12,Salaried,Male,3,5,Deluxe,3,Divorced,5,1,3,1,1,Manager,21172,1,Self Enquiry
200125,0,26,Self Enquiry,1,12,Salaried,Female,2,4,Basic,4,Divorced,2,0,3,1,0,Executive,17368,0,Self Enquiry
200126,1,58,Self Enquiry,1,29,Small Business,Female,3,3,Standard,3,Divorced,2,0,3,1,0,Senior Manager,25312,1,Self Enquiry
200127,1,19,Self Enquiry,3,28,Small Business,Male,2,3,Basic,3,Single,2,1,2,0,1,Executive,16675,1,Self Enquiry
200128,0,22,Self Enquiry,1,8,Large Business,Male,3,3,Basic,3,Divorced,1,0,5,1,2,Executive,17523,0,Self Enquiry
200129,0,49,Self Enquiry,1,26,Small Business,Female,3,3,Deluxe,5,Divorced,2,0,2,1,2,Manager,21567,0,Self Enquiry
200130,0,43,Company Invited,1,,Small Business,Female,3,2,Basic,3,Single,5,0,3,0,2,Executive,19739,0,Company Invited
200131,0,50,Company Invited,3,18,Small Business,Fe Male,3,3,Standard,3,Unmarried,5,0,5,0,0,Senior Manager,24208,1,Company Invited
200132,1,31,Self Enquiry,3,,Salaried,Female,3,5,Deluxe,3,Divorced,4,1,3,1,0,Manager,19559,1,Self Enquiry
200133,0,41,Self Enquiry,3,15,Salaried,Male,3,3,Standard,3,Married,4,1,2,0,1,Senior Manager,23189,1,Self Enquiry
200134,0,26,Self Enquiry,2,31,Salaried,Female,3,3,Basic,3,Divorced,2,0,4,1,0,Executive,17942,0,Self Enquiry
200135,0,36,Self Enquiry,1,12,Small Business,Male,2,,Deluxe,4,Married,7,0,4,1,1,Manager,19941,0,Self Enquiry
200136,1,51,Company Invited,1,14,Salaried,Male,2,5,Standard,3,Unmarried,3,0,2,0,1,Senior Manager,25650,1,Company Invited
200137,0,39,Self Enquiry,3,10,Salaried,Female,2,4,Deluxe,3,Divorced,5,0,5,1,0,Manager,20902,0,Self Enquiry
200138,0,25,Self Enquiry,3,34,Salaried,Male,2,4,Deluxe,3,Divorced,3,0,4,0,0,Manager,23639,0,Self Enquiry
200139,0,30,Self Enquiry,2,15,Salaried,Male,2,3,Deluxe,3,Divorced,1,1,3,1,1,Manager,21347,0,Self Enquiry
200140,1,,Self Enquiry,1,15,Small Business,Female,2,3,Basic,5,Single,1,0,4,1,1,Executive,,1,Self Enquiry
200141,0,,Self Enquiry,1,35,Small Business,Male,2,3,Basic,3,Single,6,0,2,1,0,Executive,18452,0,Self Enquiry
200142,0,38,Self Enquiry,1,9,Large Business,Female,2,3,Deluxe,3,Single,4,1,5,0,0,Manager,1000,0,Self Enquiry
200143,0,30,Self Enquiry,1,24,Salaried,Female,3,3,Basic,3,Single,2,0,2,1,0,Executive,17632,0,Self Enquiry
200144,0,32,Company Invited,3,,Small Business,Male,2,5,Deluxe,3,Married,1,0,2,0,1,Manager,19668,0,Company Invited
200145,0,30,Self Enquiry,1,11,Large Business,Female,2,3,Basic,5,Married,6,0,5,1,1,Executive,18204,0,Self Enquiry
200146,0,30,Self Enquiry,1,8,Small Business,Male,2,4,Basic,3,Single,1,0,4,0,0,Executive,17720,0,Self Enquiry
200147,0,41,Company Invited,1,16,Salaried,Male,3,4,Super Deluxe,5,Married,5,0,2,1,0,AVP,32181,1,Company Invited
200148,0,41,Self Enquiry,1,15,Salaried,Male,3,3,Basic,5,Divorced,3,0,2,0,2,Executive,17238,0,Self Enquiry
200149,0,19,Self Enquiry,1,9,Small Business,Female,3,3,Basic,4,Single,2,0,3,1,2,Executive,16483,0,Self Enquiry
200150,0,40,Company Invited,1,32,Small Business,Female,2,3,Deluxe,4,Married,2,0,2,1,0,Manager,20605,0,Company Invited
200151,0,35,Self Enquiry,3,6,Small Business,Male,3,3,Standard,4,Divorced,2,0,4,1,2,Senior Manager,22295,1,Self Enquiry
200152,0,53,Self Enquiry,3,12,Small Business,Male,2,3,Deluxe,3,Divorced,3,1,5,0,0,Manager,17306,0,Self Enquiry
200153,0,45,Self Enquiry,1,15,Salaried,Male,2,3,Deluxe,4,Married,1,0,4,1,0,Manager,17348,0,Self Enquiry
200154,0,32,Company Invited,3,14,Small Business,Fe Male,2,3,Standard,3,Unmarried,2,0,4,1,1,Senior Manager,23998,1,Company Invited
200155,0,29,Company Invited,1,,Large Business,Male,2,3,Deluxe,3,Divorced,2,0,3,0,1,Manager,,0,Company Invited
200156,0,51,Self Enquiry,1,13,Small Business,Male,2,4,Deluxe,3,Divorced,3,0,3,1,1,Manager,21132,0,Self Enquiry
200157,0,58,Self Enquiry,1,15,Small Business,Female,3,4,Basic,4,Divorced,5,1,2,1,0,Executive,18346,0,Self Enquiry
200158,0,40,Self Enquiry,3,10,Small Business,Male,3,4,Standard,3,Divorced,1,0,2,1,0,Senior Manager,25855,1,Self Enquiry
200159,0,34,Company Invited,3,8,Small Business,Female,3,3,Basic,3,Divorced,7,0,5,1,2,Executive,17231,0,Company Invited
200160,0,22,Self Enquiry,1,25,Small Business,Male,3,3,Basic,3,Divorced,2,0,2,0,1,Executive,17323,0,Self Enquiry
200161,0,27,Company Invited,1,15,Small Business,Male,2,3,Basic,4,Married,7,0,3,0,0,Executive,17024,0,Company Invited
200162,0,28,Self Enquiry,1,27,Small Business,Male,2,3,Basic,3,Divorced,2,0,2,0,0,Executive,17713,0,Self Enquiry
200163,0,57,Self Enquiry,1,30,Salaried,Male,2,2,Standard,3,Married,4,1,4,1,1,Senior Manager,24439,1,Self Enquiry
200164,0,27,Company Invited,1,9,Small Business,Male,3,4,Basic,3,Married,2,1,2,0,2,Executive,17566,0,Company Invited
200165,0,50,Self Enquiry,1,17,Salaried,Female,2,3,King,4,Single,4,0,5,1,,VP,34926,1,Self Enquiry
200166,0,41,Self Enquiry,1,20,Salaried,Male,2,3,Basic,3,Married,5,0,4,1,1,Executive,17451,0,Self Enquiry
200167,0,30,Self Enquiry,3,11,Salaried,Female,2,3,Standard,3,Divorced,3,0,4,1,1,Senior Manager,24419,1,Self Enquiry
200168,0,38,Self Enquiry,3,6,Salaried,Fe Male,2,4,Deluxe,3,Unmarried,5,0,2,1,1,Manager,23686,0,Self Enquiry
200169,0,32,Self Enquiry,1,12,Salaried,Male,2,3,Basic,3,Single,4,0,2,0,1,Executive,18038,0,Self Enquiry
200170,0,27,Self Enquiry,1,23,Large Business,Male,2,3,Basic,4,Divorced,1,1,4,1,0,Executive,18058,0,Self Enquiry
200171,1,19,Company Invited,3,6,Large Business,Female,3,5,Basic,5,Single,1,0,3,1,1,Executive,17325,1,Company Invited
200172,0,36,Company Invited,1,9,Small Business,Male,1,3,Basic,4,Single,5,0,4,1,0,Executive,17088,0,Company Invited
200173,0,30,Company Invited,1,15,Small Business,Male,3,3,Deluxe,5,Married,2,0,2,0,1,Manager,18072,0,Company Invited
200174,0,45,Self Enquiry,3,10,Salaried,Female,1,,Deluxe,5,Married,5,1,4,0,0,Manager,20006,0,Self Enquiry
200175,0,56,Self Enquiry,1,,Salaried,Female,3,3,Basic,5,Married,5,1,4,1,1,Executive,,0,Self Enquiry
200176,0,33,Self Enquiry,1,8,Salaried,Male,2,3,Basic,3,Single,1,0,3,0,1,Executive,17500,0,Self Enquiry
200177,1,19,Self Enquiry,1,8,Salaried,Male,2,4,Basic,3,Single,2,0,5,0,0,Executive,16102,1,Self Enquiry
200178,0,46,Self Enquiry,3,6,Small Business,Female,3,3,Standard,5,Married,2,0,2,1,1,Senior Manager,25453,1,Self Enquiry
200179,0,38,Self Enquiry,1,15,Salaried,Female,3,3,Basic,3,Single,2,0,2,1,1,Executive,17288,0,Self Enquiry
200180,0,,Self Enquiry,1,18,Small Business,Female,3,3,Basic,3,Divorced,1,1,4,1,2,Executive,,0,Self Enquiry
200181,0,34,Self Enquiry,1,33,Small Business,Female,3,3,Basic,4,Single,3,0,3,1,0,Executive,17311,0,Self Enquiry
200182,1,41,Self Enquiry,3,26,Small Business,Female,3,3,Basic,4,Single,2,1,4,0,2,Executive,18140,1,Self Enquiry
200183,0,,Self Enquiry,1,6,Small Business,Male,2,4,Basic,3,Divorced,3,0,3,0,0,Executive,18690,0,Self Enquiry
200184,0,53,Self Enquiry,1,,Small Business,Female,2,2,Deluxe,5,Married,2,0,2,1,1,Manager,,0,Self Enquiry
200185,0,33,Self Enquiry,1,20,Small Business,Female,3,3,Basic,4,Divorced,2,0,5,0,0,Executive,17756,0,Self Enquiry
200186,0,40,Self Enquiry,1,10,Small Business,Female,2,3,King,3,Divorced,2,0,5,0,1,VP,34033,1,Self Enquiry
200187,0,55,Self Enquiry,1,20,Small Business,Male,3,2,King,4,Single,1,0,2,0,2,VP,33722,1,Self Enquiry
200188,0,34,Company Invited,1,8,Salaried,Male,2,4,Deluxe,3,Divorced,2,0,4,0,0,Manager,24547,0,Company Invited
200189,0,51,Self Enquiry,1,9,Small Business,Female,3,3,Super Deluxe,4,Single,4,0,5,0,1,AVP,28734,1,Self Enquiry
200190,0,52,Self Enquiry,1,6,Salaried,Male,3,4,King,3,Divorced,1,0,2,1,,VP,34999,1,Self Enquiry
200191,0,27,Self Enquiry,1,15,Small Business,Female,2,3,Basic,4,Single,2,0,3,1,0,Executive,17279,0,Self Enquiry
200192,1,35,Self Enquiry,1,29,Salaried,Male,2,4,Deluxe,3,Divorced,4,1,4,1,1,Manager,20916,1,Self Enquiry
200193,0,43,Company Invited,1,13,Small Business,Male,2,2,Basic,3,Married,5,0,4,0,1,Executive,17089,0,Company Invited
200194,0,45,Company Invited,1,8,Small Business,Male,3,4,Super Deluxe,3,Divorced,1,0,4,1,0,AVP,31792,1,Company Invited
200195,0,,Self Enquiry,1,27,Salaried,Male,3,2,Basic,5,Divorced,2,1,3,0,2,Executive,18564,0,Self Enquiry
200196,0,35,Company Invited,1,,Small Business,Female,2,3,Deluxe,4,Single,6,0,2,1,0,Manager,,0,Company Invited
200197,0,42,Company Invited,1,27,Small Business,Female,2,3,Deluxe,3,Married,3,0,2,0,0,Manager,20265,0,Company Invited
200198,0,38,Self Enquiry,1,8,Salaried,Male,2,3,Deluxe,3,Divorced,1,0,2,0,1,Manager,21553,0,Self Enquiry
200199,0,38,Self Enquiry,1,35,Large Business,Male,2,3,Deluxe,3,Divorced,4,0,2,0,1,Manager,21261,0,Self Enquiry
200200,0,27,Company Invited,1,,Large Business,Male,2,4,Deluxe,5,Divorced,6,0,3,0,1,Manager,,0,Company Invited
